attendancePercentage,quizAverage,assignmentAverage,internalMarks,riskLevel
73,67,73,21,MEDIUM
95,88,97,30,LOW
95,99,99,29,LOW
72,74,72,21,MEDIUM
91,94,87,29,LOW
81,69,68,20,MEDIUM
95,76,97,26,LOW
82,88,89,25,LOW
93,86,93,29,LOW
97,100,95,28,LOW
84,86,75,24,MEDIUM
84,87,78,26,LOW
40,31,36,10,HIGH
89,77,85,25,LOW
57,59,65,20,HIGH
67,70,70,21,MEDIUM
89,89,100,28,LOW
87,81,84,23,LOW
40,33,39,11,HIGH
97,94,95,26,LOW
86,86,79,25,LOW
96,95,93,29,LOW
94,84,100,30,LOW
71,75,75,22,MEDIUM
71,79,80,22,MEDIUM
47,59,56,16,HIGH
67,60,65,18,MEDIUM
100,100,100,30,LOW
87,88,88,26,LOW
94,83,80,26,LOW
80,83,68,21,MEDIUM
89,80,96,27,LOW
77,70,72,17,MEDIUM
84,84,78,23,MEDIUM
69,70,68,21,MEDIUM
87,87,78,25,LOW
66,67,76,21,MEDIUM
81,74,79,24,MEDIUM
81,71,70,19,MEDIUM
92,100,95,28,LOW
75,79,83,21,MEDIUM
87,90,95,26,LOW
95,85,93,29,LOW
54,50,45,14,HIGH
68,77,77,21,MEDIUM
83,78,83,25,LOW
52,55,54,18,HIGH
49,49,49,12,HIGH
81,90,80,25,LOW
56,55,48,16,HIGH
90,93,79,26,LOW
57,55,52,15,HIGH
79,92,85,25,LOW
74,67,58,19,MEDIUM
91,83,87,26,LOW
48,48,43,14,HIGH
55,53,50,17,HIGH
88,91,87,26,LOW
75,79,76,23,MEDIUM
89,87,88,28,LOW
94,39,48,16,HIGH
94,93,100,30,LOW
48,48,48,14,HIGH
83,85,84,26,LOW
69,69,66,19,MEDIUM
90,93,85,28,LOW
45,39,46,13,HIGH
49,48,57,15,HIGH
98,92,89,26,LOW
95,95,100,30,LOW
46,47,35,15,HIGH
92,90,90,27,LOW
51,50,47,14,HIGH
56,61,64,17,HIGH
68,71,63,21,MEDIUM
55,59,48,18,HIGH
83,84,78,26,LOW
56,47,60,14,HIGH
94,91,93,28,LOW
98,95,96,28,LOW
93,88,100,29,LOW
88,95,95,24,LOW
64,63,68,19,MEDIUM
54,59,59,16,HIGH
92,95,95,26,LOW
45,48,39,13,HIGH
87,95,91,26,LOW
52,53,53,17,HIGH
75,80,79,22,MEDIUM
90,100,98,26,LOW
96,98,100,27,LOW
79,72,81,25,MEDIUM
96,99,100,30,LOW
76,75,92,23,MEDIUM
66,75,73,22,MEDIUM
91,89,89,26,LOW
74,69,72,23,MEDIUM
71,69,67,20,MEDIUM
69,72,71,21,MEDIUM
92,84,83,28,LOW
86,90,98,27,LOW
80,73,68,20,MEDIUM
73,61,71,20,MEDIUM
78,64,76,19,MEDIUM
85,71,79,24,MEDIUM
88,86,82,27,LOW
93,89,79,27,LOW
81,61,69,18,MEDIUM
64,64,75,22,MEDIUM
90,85,93,27,LOW
84,80,93,25,LOW
76,63,65,24,MEDIUM
48,53,60,16,HIGH
79,81,79,24,MEDIUM
60,70,66,20,MEDIUM
89,86,85,25,LOW
64,70,64,22,MEDIUM
74,80,78,23,MEDIUM
91,92,88,28,LOW
73,64,72,21,MEDIUM
82,78,79,23,MEDIUM
84,79,96,25,LOW
91,94,92,27,LOW
76,82,90,24,MEDIUM
94,92,94,28,LOW
98,85,95,29,LOW
100,97,87,28,LOW
83,97,96,26,LOW
88,71,86,26,LOW
99,94,100,30,LOW
82,76,72,23,MEDIUM
91,93,92,27,LOW
70,74,74,21,MEDIUM
51,46,41,15,HIGH
89,94,99,28,LOW
92,91,88,27,LOW
54,52,53,15,HIGH
75,80,83,26,MEDIUM
97,81,90,27,LOW
85,89,90,25,LOW
68,59,61,20,MEDIUM
83,88,99,26,LOW
48,48,53,13,HIGH
53,56,53,15,HIGH
100,93,83,28,LOW
76,78,71,23,MEDIUM
83,87,78,26,LOW
76,69,67,22,MEDIUM
81,74,70,23,MEDIUM
70,73,65,20,MEDIUM
79,73,68,22,MEDIUM
71,68,75,22,MEDIUM
83,81,83,25,LOW
40,34,47,10,HIGH
71,85,80,24,MEDIUM
48,55,43,13,HIGH
87,83,82,25,LOW
93,92,89,28,LOW
86,83,85,26,LOW
90,99,95,30,LOW
84,82,94,26,LOW
88,90,87,28,LOW
96,47,52,15,MEDIUM
81,88,83,27,LOW
96,96,96,27,LOW
93,100,97,27,LOW
79,69,75,25,MEDIUM
95,90,100,29,LOW
80,84,83,25,LOW
78,71,69,22,MEDIUM
83,70,65,17,MEDIUM
76,76,83,24,MEDIUM
77,71,77,21,MEDIUM
83,78,80,25,MEDIUM
79,71,73,24,MEDIUM
40,35,51,13,HIGH
55,63,58,17,HIGH
92,88,91,26,LOW
79,72,72,21,MEDIUM
62,73,73,22,MEDIUM
73,74,77,22,MEDIUM
77,85,81,24,MEDIUM
44,43,44,14,HIGH
84,88,80,24,LOW
91,82,90,26,LOW
86,80,73,25,MEDIUM
57,66,68,22,MEDIUM
46,44,51,16,HIGH
86,72,72,22,MEDIUM
97,89,99,27,LOW
91,96,86,28,LOW
47,45,48,14,HIGH
91,88,96,26,LOW
81,69,64,18,MEDIUM
80,80,61,24,MEDIUM
74,69,81,24,MEDIUM
77,63,86,23,MEDIUM
81,70,76,23,MEDIUM
77,68,70,21,MEDIUM
55,54,53,14,HIGH
55,44,56,15,HIGH
89,91,99,26,LOW
72,67,79,21,MEDIUM
83,70,86,25,MEDIUM
50,55,49,14,HIGH
65,57,59,17,HIGH
78,74,73,21,MEDIUM
51,55,41,16,HIGH
69,74,63,22,MEDIUM
95,100,100,30,LOW
84,63,70,18,MEDIUM
69,69,69,21,MEDIUM
91,90,97,26,LOW
89,78,81,24,LOW
69,71,67,21,MEDIUM
88,82,85,25,LOW
81,63,72,21,MEDIUM
97,99,82,26,LOW
78,68,71,23,MEDIUM
85,81,86,26,LOW
100,91,94,30,LOW
55,48,38,12,HIGH
82,65,73,23,MEDIUM
94,95,91,25,LOW
65,48,63,15,HIGH
80,66,65,23,MEDIUM
46,49,42,14,HIGH
54,48,56,16,HIGH
74,74,66,22,MEDIUM
88,79,90,25,LOW
48,48,41,15,HIGH
80,74,77,24,MEDIUM
48,50,49,13,HIGH
100,98,99,28,LOW
67,73,67,20,MEDIUM
86,96,87,24,LOW
84,75,81,25,MEDIUM
44,40,50,12,HIGH
93,88,82,24,LOW
63,64,67,22,MEDIUM
57,48,51,17,HIGH
40,34,36,10,HIGH
91,99,94,27,LOW
75,76,68,21,MEDIUM
67,68,73,21,MEDIUM
68,75,70,22,MEDIUM
50,48,43,14,HIGH
53,67,52,17,HIGH
89,83,75,27,LOW
58,88,84,28,MEDIUM
92,100,89,27,LOW
45,49,49,15,HIGH
81,76,74,25,MEDIUM
50,46,48,15,HIGH
79,59,67,20,MEDIUM
74,74,74,24,MEDIUM
50,56,53,17,HIGH
87,87,85,26,LOW
85,84,80,25,LOW
96,92,99,27,LOW
96,49,57,15,MEDIUM
79,71,90,23,MEDIUM
87,86,91,28,LOW
79,89,90,26,LOW
57,63,53,16,HIGH
82,84,85,22,MEDIUM
89,80,95,25,LOW
90,94,96,29,LOW
88,100,96,29,LOW
80,77,77,23,MEDIUM
67,71,85,23,MEDIUM
76,71,74,24,MEDIUM
88,94,99,28,LOW
94,82,100,25,LOW
77,65,66,24,MEDIUM
90,83,87,27,LOW
94,95,98,27,LOW
84,85,85,26,LOW
92,100,93,30,LOW
86,93,89,27,LOW
76,74,77,23,MEDIUM
78,67,76,25,MEDIUM
81,87,88,26,LOW
97,83,87,29,LOW
68,72,76,22,MEDIUM
74,70,73,22,MEDIUM
70,68,73,22,MEDIUM
91,95,99,27,LOW
87,95,99,29,LOW
62,69,65,22,MEDIUM
82,81,85,25,LOW
100,97,100,30,LOW
81,87,87,27,LOW
90,93,90,27,LOW
61,62,65,20,MEDIUM
92,96,93,29,LOW
100,93,93,29,LOW
76,80,72,23,MEDIUM
40,43,37,13,HIGH
67,74,74,21,MEDIUM
84,87,92,27,LOW
91,98,87,28,LOW
88,90,94,27,LOW
48,43,53,16,HIGH
85,78,88,28,LOW
77,74,61,21,MEDIUM
68,66,80,23,MEDIUM
64,73,78,21,MEDIUM
40,36,44,11,HIGH
71,76,76,23,MEDIUM
55,52,55,19,HIGH
90,87,88,28,LOW
83,88,88,26,LOW
94,98,100,27,LOW
82,77,88,26,LOW
67,77,83,19,MEDIUM
78,77,75,25,MEDIUM
93,91,91,27,LOW
66,85,66,21,MEDIUM
96,89,100,26,LOW
42,46,46,15,HIGH
60,53,60,17,HIGH
90,93,100,27,LOW
67,71,74,21,MEDIUM
69,77,69,20,MEDIUM
89,86,97,28,LOW
53,54,57,17,HIGH
64,73,60,21,MEDIUM
52,46,66,15,HIGH
68,73,68,22,MEDIUM
71,71,68,22,MEDIUM
40,50,38,11,HIGH
49,51,50,17,HIGH
70,77,77,22,MEDIUM
45,41,52,13,HIGH
96,47,51,15,MEDIUM
79,75,72,21,MEDIUM
92,100,82,26,LOW
79,94,78,27,LOW
82,92,87,25,LOW
82,69,68,20,MEDIUM
90,96,83,27,LOW
73,81,78,23,MEDIUM
44,38,43,13,HIGH
98,95,100,27,LOW
94,90,95,27,LOW
93,96,85,27,LOW
76,70,76,21,MEDIUM
90,79,87,26,LOW
92,95,96,28,LOW
98,47,45,15,MEDIUM
95,95,100,29,LOW
63,74,68,19,MEDIUM
64,71,64,20,MEDIUM
92,93,89,26,LOW
62,76,68,20,MEDIUM
75,63,73,23,MEDIUM
96,92,94,28,LOW
74,80,77,22,MEDIUM
86,86,91,25,LOW
94,84,88,24,LOW
74,63,61,20,MEDIUM
54,58,49,14,HIGH
58,53,50,17,HIGH
79,80,73,23,MEDIUM
72,80,77,20,MEDIUM
77,65,76,24,MEDIUM
57,60,58,16,HIGH
81,63,64,18,MEDIUM
56,58,57,17,HIGH
90,94,91,28,LOW
64,72,72,21,MEDIUM
57,55,56,16,HIGH
84,89,90,28,LOW
52,51,42,14,HIGH
96,91,88,28,LOW
92,87,96,27,LOW
71,70,80,22,MEDIUM
78,68,67,21,MEDIUM
86,79,86,23,MEDIUM
100,100,87,29,LOW
41,46,46,15,HIGH
84,83,96,25,LOW
85,77,85,23,MEDIUM
78,80,75,25,MEDIUM
93,93,96,28,LOW
43,42,51,13,HIGH
94,98,93,29,LOW
71,76,77,22,MEDIUM
82,84,80,26,LOW
90,85,91,27,LOW
85,84,86,27,LOW
76,74,85,24,MEDIUM
94,80,88,25,LOW
43,45,47,12,HIGH
84,69,80,24,MEDIUM
45,42,42,12,HIGH
69,85,96,27,LOW
88,80,85,24,LOW
90,91,90,28,LOW
83,84,87,26,LOW
57,54,58,19,HIGH
85,61,73,20,MEDIUM
74,67,70,22,MEDIUM
96,75,97,26,LOW
59,52,45,13,HIGH
40,50,40,13,HIGH
93,91,91,26,LOW
93,86,98,26,LOW
80,71,70,19,MEDIUM
75,74,83,24,MEDIUM
89,84,88,27,LOW
70,71,74,20,MEDIUM
92,90,90,27,LOW
82,67,69,19,MEDIUM
100,97,95,30,LOW
51,60,61,16,HIGH
77,69,66,20,MEDIUM
67,66,59,20,MEDIUM
43,40,52,15,HIGH
91,100,88,29,LOW
67,69,72,22,MEDIUM
53,56,52,16,HIGH
63,65,57,21,MEDIUM
41,42,36,13,HIGH
80,82,79,24,MEDIUM
56,59,62,17,HIGH
68,69,69,21,MEDIUM
77,83,92,26,LOW
87,82,80,25,LOW
75,72,75,24,MEDIUM
92,100,88,29,LOW
40,40,36,11,HIGH
68,72,79,21,MEDIUM
75,69,71,20,MEDIUM
91,94,91,28,LOW
93,98,86,26,LOW
68,73,58,20,MEDIUM
95,86,100,28,LOW
73,71,73,23,MEDIUM
61,52,67,18,HIGH
82,87,82,26,LOW
93,88,99,27,LOW
97,100,97,29,LOW
70,72,72,21,MEDIUM
81,75,87,23,MEDIUM
69,75,82,22,MEDIUM
73,68,64,21,MEDIUM
77,78,76,21,MEDIUM
48,57,59,17,HIGH
71,73,68,21,MEDIUM
84,73,85,26,LOW
57,56,60,18,HIGH
77,69,70,22,MEDIUM
90,92,100,26,LOW
51,48,50,15,HIGH
59,59,68,17,HIGH
92,89,95,28,LOW
92,94,90,28,LOW
87,85,100,25,LOW
83,86,82,25,LOW
70,61,73,22,MEDIUM
71,79,70,22,MEDIUM
68,81,67,21,MEDIUM
60,64,65,20,MEDIUM
50,49,42,15,HIGH
75,62,68,19,MEDIUM
90,87,100,26,LOW
77,68,75,22,MEDIUM
82,92,78,27,LOW
75,80,91,25,MEDIUM
80,73,69,21,MEDIUM
65,72,69,22,MEDIUM
90,84,89,27,LOW
90,87,91,27,LOW
55,47,47,16,HIGH
49,51,52,14,HIGH
79,80,78,22,MEDIUM
42,45,43,17,HIGH
80,76,70,23,MEDIUM
83,75,69,22,MEDIUM
96,88,84,26,LOW
46,38,40,12,HIGH
93,78,97,27,LOW
75,75,74,21,MEDIUM
82,93,85,24,LOW
89,85,92,26,LOW
77,74,73,21,MEDIUM
81,75,77,25,MEDIUM
82,71,67,21,MEDIUM
67,64,67,18,MEDIUM
97,90,90,29,LOW
97,87,89,25,LOW
91,91,95,27,LOW
90,87,89,28,LOW
81,95,87,24,LOW
98,93,93,28,LOW
89,90,93,28,LOW
98,79,97,29,LOW
40,36,41,12,HIGH
76,73,74,22,MEDIUM
83,88,76,25,LOW
77,67,78,23,MEDIUM
78,84,79,25,MEDIUM
77,86,68,23,MEDIUM
79,75,82,21,MEDIUM
79,72,69,19,MEDIUM
100,97,94,30,LOW
52,52,53,14,HIGH
78,81,79,23,MEDIUM
97,94,97,27,LOW
82,89,86,26,LOW
57,50,58,13,HIGH
93,83,92,28,LOW
63,67,61,19,MEDIUM
75,69,78,22,MEDIUM
94,98,100,30,LOW
92,85,91,27,LOW
65,53,66,17,HIGH
96,98,100,28,LOW
50,55,48,12,HIGH
53,60,55,16,HIGH
92,81,77,27,LOW
86,99,91,26,LOW
84,82,88,24,LOW
94,95,97,30,LOW
51,52,54,14,HIGH
54,51,52,15,HIGH
84,92,87,26,LOW
86,86,81,24,LOW
92,89,95,25,LOW
56,51,58,16,HIGH
69,73,75,19,MEDIUM
74,77,83,22,MEDIUM
55,58,45,16,HIGH
47,45,58,16,HIGH
87,84,80,27,LOW
64,70,76,21,MEDIUM
43,47,44,14,HIGH
72,64,77,20,MEDIUM
60,63,67,19,MEDIUM
100,94,100,26,LOW
93,87,100,27,LOW
59,67,55,17,HIGH
90,94,91,27,LOW
50,54,57,15,HIGH
81,76,85,27,LOW
83,69,69,20,MEDIUM
71,73,67,21,MEDIUM
86,91,88,26,LOW
93,89,96,29,LOW
73,64,71,20,MEDIUM
99,90,84,28,LOW
44,44,43,13,HIGH
95,88,94,27,LOW
88,94,91,27,LOW
79,69,68,21,MEDIUM
40,40,35,11,HIGH
81,75,80,22,MEDIUM
48,49,52,13,HIGH
94,47,46,15,HIGH
40,37,39,12,HIGH
66,61,54,20,MEDIUM
95,87,90,28,LOW
78,74,68,22,MEDIUM
76,77,76,21,MEDIUM
44,54,51,17,HIGH
61,63,55,17,HIGH
78,62,72,20,MEDIUM
91,84,95,26,LOW
81,85,81,27,LOW
91,98,93,28,LOW
93,90,100,27,LOW
65,64,68,20,MEDIUM
89,98,92,27,LOW
74,73,92,25,MEDIUM
58,55,55,16,HIGH
55,55,59,18,HIGH
57,53,60,17,HIGH
96,100,100,28,LOW
78,75,66,19,MEDIUM
89,90,90,28,LOW
77,75,64,21,MEDIUM
61,67,62,18,MEDIUM
96,99,94,28,LOW
42,38,47,14,HIGH
86,78,86,25,LOW
76,68,92,23,MEDIUM
53,59,43,15,HIGH
86,74,91,25,LOW
96,84,92,26,LOW
92,88,89,27,LOW
83,86,83,25,LOW
40,40,33,10,HIGH
40,38,34,13,HIGH
60,63,74,21,MEDIUM
85,94,94,27,LOW
92,88,90,27,LOW
78,66,69,21,MEDIUM
80,70,68,19,MEDIUM
89,89,94,28,LOW
75,75,80,24,MEDIUM
93,87,92,27,LOW
88,92,89,28,LOW
58,60,65,19,HIGH
85,89,97,26,LOW
75,74,73,21,MEDIUM
92,95,74,25,LOW
74,72,75,22,MEDIUM
79,88,78,27,LOW
48,41,45,13,HIGH
100,95,95,28,LOW
42,43,46,15,HIGH
43,49,53,14,HIGH
100,95,92,28,LOW
56,56,50,15,HIGH
50,57,51,16,HIGH
51,51,51,15,HIGH
54,38,54,15,HIGH
89,96,97,28,LOW
69,66,78,19,MEDIUM
100,93,100,28,LOW
67,71,73,22,MEDIUM
40,35,38,9,HIGH
87,82,88,27,LOW
100,90,100,30,LOW
94,91,87,25,LOW
91,96,97,29,LOW
98,99,100,30,LOW
65,71,71,23,MEDIUM
98,88,100,28,LOW
83,80,83,25,LOW
88,95,89,29,LOW
81,84,84,26,LOW
87,81,82,25,LOW
77,84,72,23,MEDIUM
90,85,96,28,LOW
99,96,89,27,LOW
86,94,91,26,LOW
72,68,66,22,MEDIUM
43,53,51,17,HIGH
87,85,86,27,LOW
66,66,74,22,MEDIUM
100,89,96,29,LOW
48,47,51,11,HIGH
86,80,81,25,LOW
58,91,88,26,MEDIUM
80,68,60,19,MEDIUM
96,93,92,26,LOW
57,53,61,17,HIGH
95,85,92,27,LOW
73,75,75,21,MEDIUM
85,82,83,25,LOW
43,57,48,15,HIGH
100,94,99,27,LOW
58,57,58,16,HIGH
93,92,94,30,LOW
61,64,74,19,MEDIUM
85,92,93,26,LOW
52,41,50,14,HIGH
80,94,89,27,LOW
88,89,75,28,LOW
52,62,52,15,HIGH
68,81,70,20,MEDIUM
79,72,66,20,MEDIUM
46,46,45,14,HIGH
67,64,73,21,MEDIUM
88,100,100,29,LOW
66,62,71,19,MEDIUM
48,56,48,16,HIGH
79,88,76,25,MEDIUM
73,73,77,23,MEDIUM
73,83,87,23,MEDIUM
60,58,66,17,HIGH
77,72,78,23,MEDIUM
89,97,89,28,LOW
100,100,100,30,LOW
79,68,69,17,MEDIUM
78,67,74,22,MEDIUM
42,44,49,14,HIGH
66,52,55,17,HIGH
78,83,82,26,LOW
54,62,61,16,HIGH
87,84,90,25,LOW
99,92,95,30,LOW
99,98,96,27,LOW
85,80,87,26,LOW
78,79,83,22,MEDIUM
86,86,86,27,LOW
76,77,76,21,MEDIUM
96,92,97,28,LOW
65,63,67,19,MEDIUM
81,90,82,25,LOW
82,78,75,23,MEDIUM
76,77,70,22,MEDIUM
88,95,87,25,LOW
86,88,93,27,LOW
68,72,82,20,MEDIUM
49,44,46,11,HIGH
87,73,75,24,MEDIUM
73,71,74,21,MEDIUM
70,77,77,24,MEDIUM
67,71,74,21,MEDIUM
88,87,84,26,LOW
98,86,90,29,LOW
89,93,80,28,LOW
83,90,90,28,LOW
48,48,44,15,HIGH
58,55,50,16,HIGH
89,85,97,28,LOW
75,85,74,22,MEDIUM
67,73,71,21,MEDIUM
40,49,36,13,HIGH
79,73,67,20,MEDIUM
57,49,47,15,HIGH
67,68,69,21,MEDIUM
82,63,66,18,MEDIUM
100,100,98,29,LOW
42,40,52,13,HIGH
92,98,92,27,LOW
85,91,81,26,LOW
81,75,71,20,MEDIUM
85,88,90,27,LOW
82,63,71,23,MEDIUM
80,91,98,26,LOW
93,97,87,28,LOW
91,97,96,28,LOW
93,88,88,28,LOW
89,82,98,25,LOW
91,84,86,27,LOW
83,85,79,23,MEDIUM
83,89,92,26,LOW
83,69,70,23,MEDIUM
87,93,93,28,LOW
83,71,64,22,MEDIUM
87,86,81,26,LOW
95,100,97,29,LOW
86,95,94,27,LOW
88,88,99,27,LOW
82,81,80,25,MEDIUM
95,99,94,29,LOW
96,97,89,27,LOW
46,57,44,13,HIGH
82,88,83,23,MEDIUM
85,97,83,25,LOW
88,91,100,27,LOW
93,84,86,27,LOW
74,76,78,23,MEDIUM
79,93,83,26,LOW
95,97,94,28,LOW
80,66,66,18,MEDIUM
95,88,100,28,LOW
77,67,67,20,MEDIUM
79,65,62,19,MEDIUM
82,72,71,17,MEDIUM
56,56,53,17,HIGH
94,88,89,25,LOW
96,93,95,28,LOW
85,90,97,25,LOW
93,95,94,27,LOW
79,60,74,21,MEDIUM
79,73,71,22,MEDIUM
68,75,62,19,MEDIUM
48,52,56,17,HIGH
67,79,69,21,MEDIUM
41,37,33,10,HIGH
65,67,59,21,MEDIUM
86,94,93,27,LOW
65,65,60,19,MEDIUM
94,90,94,27,LOW
86,83,90,26,LOW
54,53,46,17,HIGH
65,68,66,20,MEDIUM
84,86,87,28,LOW
86,81,86,25,LOW
87,77,80,25,LOW
74,63,74,22,MEDIUM
49,48,45,13,HIGH
79,68,72,21,MEDIUM
89,85,84,27,LOW
58,56,52,19,HIGH
93,93,81,27,LOW
83,86,94,25,LOW
62,75,67,22,MEDIUM
60,50,56,17,HIGH
48,51,44,12,HIGH
67,60,65,21,MEDIUM
89,87,92,26,LOW
83,92,85,25,LOW
79,75,82,23,MEDIUM
84,89,84,25,LOW
71,59,70,25,MEDIUM
79,74,68,19,MEDIUM
82,85,94,28,LOW
85,86,88,25,LOW
88,92,92,26,LOW
70,77,79,23,MEDIUM
70,74,72,21,MEDIUM
86,86,100,28,LOW
81,75,86,24,MEDIUM
74,78,68,21,MEDIUM
74,83,78,23,MEDIUM
71,75,72,23,MEDIUM
76,70,71,20,MEDIUM
54,56,58,17,HIGH
88,100,92,29,LOW
91,92,83,28,LOW
75,73,74,21,MEDIUM
91,95,87,27,LOW
73,68,72,22,MEDIUM
91,98,89,27,LOW
88,88,97,25,LOW
63,68,69,18,MEDIUM
61,73,69,20,MEDIUM
95,94,88,27,LOW
81,68,66,17,MEDIUM
74,84,82,24,MEDIUM
77,62,67,21,MEDIUM
88,94,98,28,LOW
66,56,73,22,MEDIUM
78,69,76,22,MEDIUM
67,67,73,20,MEDIUM
82,62,75,20,MEDIUM
78,62,70,21,MEDIUM
91,91,89,25,LOW
68,73,64,21,MEDIUM
85,91,93,30,LOW
62,69,64,19,MEDIUM
86,93,94,25,LOW
93,90,91,26,LOW
74,77,82,22,MEDIUM
90,93,84,28,LOW
72,79,84,23,MEDIUM
74,61,62,21,MEDIUM
90,86,89,26,LOW
72,72,75,22,MEDIUM
80,71,64,23,MEDIUM
91,86,87,26,LOW
79,76,70,15,MEDIUM
51,58,62,18,HIGH
83,85,93,27,LOW
79,91,75,27,LOW
51,54,41,16,HIGH
88,87,95,28,LOW
84,77,79,24,MEDIUM
93,94,93,29,LOW
95,98,100,30,LOW
80,79,87,27,LOW
99,99,95,29,LOW
52,47,48,14,HIGH
48,48,50,16,HIGH
88,85,86,26,LOW
50,57,45,13,HIGH
98,99,100,29,LOW
86,87,81,26,LOW
95,98,91,28,LOW
90,99,88,30,LOW
66,58,70,20,MEDIUM
47,46,50,16,HIGH
84,92,93,26,LOW
83,89,91,26,LOW
90,90,91,27,LOW
90,94,91,26,LOW
79,63,73,16,MEDIUM
62,91,88,27,MEDIUM
83,99,89,27,LOW
100,100,100,29,LOW
80,83,94,27,LOW
87,76,93,26,LOW
92,84,88,26,LOW
95,97,100,30,LOW
83,89,84,28,LOW
92,96,94,28,LOW
72,77,72,22,MEDIUM
96,96,92,28,LOW
94,85,90,28,LOW
76,75,72,21,MEDIUM
96,90,99,26,LOW
87,84,86,27,LOW
78,80,87,24,MEDIUM
95,93,97,26,LOW
74,67,78,20,MEDIUM
87,93,100,27,LOW
77,73,93,25,MEDIUM
63,73,73,20,MEDIUM
58,85,87,27,MEDIUM
58,68,64,19,MEDIUM
97,87,89,28,LOW
59,61,59,16,HIGH
64,60,72,19,MEDIUM
83,75,81,24,MEDIUM
85,83,81,25,LOW
92,97,100,28,LOW
87,88,90,27,LOW
88,96,86,28,LOW
94,89,91,29,LOW
53,49,63,19,HIGH
85,95,83,27,LOW
73,61,67,20,MEDIUM
60,68,70,19,MEDIUM
89,87,87,25,LOW
93,100,94,28,LOW
69,64,70,20,MEDIUM
100,99,90,29,LOW
79,65,73,19,MEDIUM
92,97,92,26,LOW
70,69,78,19,MEDIUM
69,85,83,25,MEDIUM
78,69,68,20,MEDIUM
79,83,86,25,LOW
97,89,91,28,LOW
92,82,93,27,LOW
56,65,55,17,HIGH
62,73,72,21,MEDIUM
69,71,76,21,MEDIUM
90,83,84,23,LOW
41,34,43,13,HIGH
78,89,89,24,LOW
53,68,60,16,HIGH
91,92,93,29,LOW
81,86,85,24,LOW
65,56,50,17,HIGH
91,85,90,27,LOW
79,83,86,25,LOW
47,41,49,15,HIGH
95,100,90,30,LOW
90,93,93,27,LOW
79,77,82,22,MEDIUM
49,58,58,18,HIGH
44,50,49,11,HIGH
74,76,73,21,MEDIUM
100,92,92,29,LOW
99,88,96,26,LOW
94,84,92,26,LOW
69,65,77,20,MEDIUM
90,94,100,27,LOW
72,75,67,23,MEDIUM
70,66,71,22,MEDIUM
82,77,84,24,MEDIUM
82,74,72,19,MEDIUM
83,83,85,25,LOW
81,71,68,19,MEDIUM
43,49,44,12,HIGH
84,89,82,27,LOW
90,82,92,25,LOW
67,74,63,20,MEDIUM
42,37,46,12,HIGH
76,71,70,22,MEDIUM
85,90,100,26,LOW
89,100,84,28,LOW
94,88,89,26,LOW
98,93,92,26,LOW
85,88,88,26,LOW
61,68,64,21,MEDIUM
82,63,71,19,MEDIUM
55,62,54,17,HIGH
